Feature	Gain	Cover	Frequency
mpasivos_margen	0.06837961307388	0.0247094485611272	0.0299721907508497
mtarjeta_visa_consumo	0.0665660438840825	0.0149451102092844	0.0203934493768668
cpayroll_trx	0.0611943827050534	0.0128930230166579	0.00370789988670306
ctrx_quarter	0.0581642483274668	0.0250862901020594	0.0241013492635699
mpayroll	0.0497107679837335	0.0307395315659562	0.010917705221959
mcuentas_saldo	0.0467780870224776	0.029675255846927	0.0373879905242558
mcaja_ahorro	0.0337346502653084	0.0169586535906205	0.0260582964259965
mactivos_margen	0.0246808371371435	0.0253402861267933	0.0245133381398702
mrentabilidad_annual	0.0234546737318645	0.0185572992615359	0.0250283242352456
cprestamos_personales	0.0210198348639418	0.00480770577004776	0.00236893603872695
cliente_edad	0.020679543458155	0.0224463431763898	0.0293542074363992
Visa_fechaalta	0.0197189715503766	0.013851565927671	0.029148212998249
Visa_msaldototal	0.0196481227227121	0.012468925466057	0.0174065300236894
Visa_msaldopesos	0.0177031870974188	0.0157970807640245	0.0183335049953651
mcuenta_corriente	0.0167592304072471	0.0128923543943934	0.0187454938716655
Visa_mconsumospesos	0.0153219131031565	0.00915800352991332	0.0140076217942116
Master_fechaalta	0.015234326243697	0.0223608097988895	0.0283242352456484
Master_Fvencimiento	0.0152118798575694	0.0167133245191491	0.0237923576063446
Visa_mpagospesos	0.0140432339492651	0.0127925285875859	0.0263672880832218
mcomisiones	0.013828812679511	0.016886537903525	0.021835410443918
Visa_Fvencimiento	0.0137448985923623	0.0116949826268559	0.0207024410340921
numero_de_cliente	0.0135100940615756	0.0113729278937289	0.0216294160057678
mrentabilidad	0.0134085466376914	0.0151380554913145	0.0177155216809146
mautoservicio	0.0133997904390099	0.0160238895014938	0.0177155216809146
chomebanking_trx	0.0133759534406104	0.0133004854464083	0.0178185188999897
ctarjeta_debito_trx	0.0127316301406264	0.0132026755608644	0.0175095272427644
mprestamos_personales	0.0126576177266305	0.0219203083802516	0.0061798331445051
