vmax_cp	max_depth	vmax_minbucket	min_split	ganancia_promedio
-1	3	250	500	9169333
-1	3	250	300	9169333
-1	3	250	200	9169333
-1	3	250	150	9169333
-1	3	250	50	9169333
-1	3	250	30	9169333
-1	5	250	500	11287333
-1	5	250	300	11287333
-1	5	250	200	11287333
-1	5	250	150	11287333
-1	5	250	50	11287333
-1	5	250	30	11287333
-1	6	250	500	10557333
-1	6	250	300	10557333
-1	6	250	200	10557333
-1	6	250	150	10557333
-1	6	250	50	10557333
-1	6	250	30	10557333
-1	9	250	500	10342000
-1	9	250	300	10342000
-1	9	250	200	10342000
-1	9	250	150	10342000
-1	9	250	50	10342000
-1	9	250	30	10342000
-1	11	250	500	9810667
-1	11	250	300	9810667
-1	11	250	200	9810667
-1	11	250	150	9810667
-1	11	250	50	9810667
-1	11	250	30	9810667
-1	12	250	500	9810667
-1	12	250	300	9810667
-1	12	250	200	9810667
-1	12	250	150	9810667
-1	12	250	50	9810667
-1	12	250	30	9810667
-1	3	150	500	9169333
-1	3	150	300	9169333
-1	3	150	200	9169333
-1	3	150	150	9169333
-1	3	150	50	9169333
-1	3	150	30	9169333
-1	5	150	500	11197333
-1	5	150	300	11018667
-1	5	150	200	11018667
-1	5	150	150	11018667
-1	5	150	50	11018667
-1	5	150	30	11018667
-1	6	150	500	10362000
-1	6	150	300	10225333
-1	6	150	200	10225333
-1	6	150	150	10225333
-1	6	150	50	10225333
-1	6	150	30	10225333
-1	9	150	500	9784000
-1	9	150	300	9460000
-1	9	150	200	9460000
-1	9	150	150	9460000
-1	9	150	50	9460000
-1	9	150	30	9460000
-1	11	150	500	9375333
-1	11	150	300	8708000
-1	11	150	200	8708000
-1	11	150	150	8708000
-1	11	150	50	8708000
-1	11	150	30	8708000
-1	12	150	500	9284000
-1	12	150	300	8565333
-1	12	150	200	8565333
-1	12	150	150	8565333
-1	12	150	50	8565333
-1	12	150	30	8565333
-1	3	100	500	9169333
-1	3	100	300	9169333
-1	3	100	200	9169333
-1	3	100	150	9169333
-1	3	100	50	9169333
-1	3	100	30	9169333
-1	5	100	500	11098000
-1	5	100	300	10977333
-1	5	100	200	10977333
-1	5	100	150	10977333
-1	5	100	50	10977333
-1	5	100	30	10977333
-1	6	100	500	9728000
-1	6	100	300	9659333
-1	6	100	200	9748000
-1	6	100	150	9748000
-1	6	100	50	9748000
-1	6	100	30	9748000
-1	9	100	500	9305333
-1	9	100	300	8670000
-1	9	100	200	8465333
-1	9	100	150	8465333
-1	9	100	50	8465333
-1	9	100	30	8465333
-1	11	100	500	8910000
-1	11	100	300	7556667
-1	11	100	200	6802000
-1	11	100	150	6802000
-1	11	100	50	6802000
-1	11	100	30	6802000
-1	12	100	500	8724000
-1	12	100	300	7212000
-1	12	100	200	6399333
-1	12	100	150	6399333
-1	12	100	50	6399333
-1	12	100	30	6399333
-1	3	76	500	9169333
-1	3	76	300	9169333
-1	3	76	200	9169333
-1	3	76	150	9169333
-1	3	76	50	9169333
-1	3	76	30	9169333
-1	5	76	500	11004000
-1	5	76	300	10922000
-1	5	76	200	10922000
-1	5	76	150	10878667
-1	5	76	50	10878667
-1	5	76	30	10878667
-1	6	76	500	9614667
-1	6	76	300	9595333
-1	6	76	200	9661333
-1	6	76	150	9628667
-1	6	76	50	9628667
-1	6	76	30	9628667
-1	9	76	500	8626667
-1	9	76	300	8264667
-1	9	76	200	8235333
-1	9	76	150	7962000
-1	9	76	50	7962000
-1	9	76	30	7962000
-1	11	76	500	8473333
-1	11	76	300	7805333
-1	11	76	200	7130667
-1	11	76	150	6640667
-1	11	76	50	6640667
-1	11	76	30	6640667
-1	12	76	500	8265333
-1	12	76	300	7164667
-1	12	76	200	6140667
-1	12	76	150	5714667
-1	12	76	50	5714667
-1	12	76	30	5714667
-1	3	26	500	8741333
-1	3	26	300	8741333
-1	3	26	200	8741333
-1	3	26	150	8741333
-1	3	26	50	8741333
-1	3	26	30	8741333
-1	5	26	500	10723333
-1	5	26	300	10723333
-1	5	26	200	10692667
-1	5	26	150	10656000
-1	5	26	50	10655333
-1	5	26	30	10655333
-1	6	26	500	10148000
-1	6	26	300	10268667
-1	6	26	200	10275333
-1	6	26	150	10255333
-1	6	26	50	10342000
-1	6	26	30	10342000
-1	9	26	500	9335333
-1	9	26	300	9208000
-1	9	26	200	8833333
-1	9	26	150	8684667
-1	9	26	50	8852000
-1	9	26	30	8852000
-1	11	26	500	7698000
-1	11	26	300	7393333
-1	11	26	200	6702000
-1	11	26	150	6653333
-1	11	26	50	6546667
-1	11	26	30	6546667
-1	12	26	500	7987333
-1	12	26	300	7416667
-1	12	26	200	6487333
-1	12	26	150	6350667
-1	12	26	50	6330667
-1	12	26	30	6330667
-1	3	16	500	8556667
-1	3	16	300	8556667
-1	3	16	200	8556667
-1	3	16	150	8556667
-1	3	16	50	8556667
-1	3	16	30	8556667
-1	5	16	500	10611333
-1	5	16	300	10611333
-1	5	16	200	10580667
-1	5	16	150	10580667
-1	5	16	50	10526000
-1	5	16	30	10532000
-1	6	16	500	10742667
-1	6	16	300	10742667
-1	6	16	200	10706000
-1	6	16	150	10692000
-1	6	16	50	10642000
-1	6	16	30	10708000
-1	9	16	500	9449333
-1	9	16	300	9453333
-1	9	16	200	9266667
-1	9	16	150	8862000
-1	9	16	50	9074000
-1	9	16	30	9204000
-1	11	16	500	8305333
-1	11	16	300	7936000
-1	11	16	200	7610000
-1	11	16	150	6929333
-1	11	16	50	6947333
-1	11	16	30	7187333
-1	12	16	500	8204667
-1	12	16	300	7740667
-1	12	16	200	7456000
-1	12	16	150	6510000
-1	12	16	50	6452667
-1	12	16	30	6705333
-0.5	3	250	500	9169333
-0.5	3	250	300	9169333
-0.5	3	250	200	9169333
-0.5	3	250	150	9169333
-0.5	3	250	50	9169333
-0.5	3	250	30	9169333
-0.5	5	250	500	11287333
-0.5	5	250	300	11287333
-0.5	5	250	200	11287333
-0.5	5	250	150	11287333
-0.5	5	250	50	11287333
-0.5	5	250	30	11287333
-0.5	6	250	500	10557333
-0.5	6	250	300	10557333
-0.5	6	250	200	10557333
-0.5	6	250	150	10557333
-0.5	6	250	50	10557333
-0.5	6	250	30	10557333
-0.5	9	250	500	10342000
-0.5	9	250	300	10342000
-0.5	9	250	200	10342000
-0.5	9	250	150	10342000
-0.5	9	250	50	10342000
-0.5	9	250	30	10342000
-0.5	11	250	500	9810667
-0.5	11	250	300	9810667
-0.5	11	250	200	9810667
-0.5	11	250	150	9810667
-0.5	11	250	50	9810667
-0.5	11	250	30	9810667
-0.5	12	250	500	9810667
-0.5	12	250	300	9810667
-0.5	12	250	200	9810667
-0.5	12	250	150	9810667
-0.5	12	250	50	9810667
-0.5	12	250	30	9810667
-0.5	3	150	500	9169333
-0.5	3	150	300	9169333
-0.5	3	150	200	9169333
-0.5	3	150	150	9169333
-0.5	3	150	50	9169333
-0.5	3	150	30	9169333
-0.5	5	150	500	11197333
-0.5	5	150	300	11018667
-0.5	5	150	200	11018667
-0.5	5	150	150	11018667
-0.5	5	150	50	11018667
-0.5	5	150	30	11018667
-0.5	6	150	500	10362000
-0.5	6	150	300	10225333
-0.5	6	150	200	10225333
-0.5	6	150	150	10225333
-0.5	6	150	50	10225333
-0.5	6	150	30	10225333
-0.5	9	150	500	9784000
-0.5	9	150	300	9460000
-0.5	9	150	200	9460000
-0.5	9	150	150	9460000
-0.5	9	150	50	9460000
-0.5	9	150	30	9460000
-0.5	11	150	500	9375333
-0.5	11	150	300	8708000
-0.5	11	150	200	8708000
-0.5	11	150	150	8708000
-0.5	11	150	50	8708000
-0.5	11	150	30	8708000
-0.5	12	150	500	9284000
-0.5	12	150	300	8565333
-0.5	12	150	200	8565333
-0.5	12	150	150	8565333
-0.5	12	150	50	8565333
-0.5	12	150	30	8565333
-0.5	3	100	500	9169333
-0.5	3	100	300	9169333
-0.5	3	100	200	9169333
-0.5	3	100	150	9169333
-0.5	3	100	50	9169333
-0.5	3	100	30	9169333
-0.5	5	100	500	11098000
-0.5	5	100	300	10977333
-0.5	5	100	200	10977333
-0.5	5	100	150	10977333
-0.5	5	100	50	10977333
-0.5	5	100	30	10977333
-0.5	6	100	500	9728000
-0.5	6	100	300	9659333
-0.5	6	100	200	9748000
-0.5	6	100	150	9748000
-0.5	6	100	50	9748000
-0.5	6	100	30	9748000
-0.5	9	100	500	9305333
-0.5	9	100	300	8670000
-0.5	9	100	200	8465333
-0.5	9	100	150	8465333
-0.5	9	100	50	8465333
-0.5	9	100	30	8465333
-0.5	11	100	500	8910000
-0.5	11	100	300	7556667
-0.5	11	100	200	6802000
-0.5	11	100	150	6802000
-0.5	11	100	50	6802000
