fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220424 150535	-0.200265206297627	3312	731	12	5	9635000	1
20220424 150609	-0.26599412435753	5247	356	9	5	9124000	2
20220424 150643	-0.578848894903786	7369	1017	14	5	8635000	3
20220424 150718	-0.898732638760703	7729	215	10	5	8635000	4
20220424 150749	-0.498075539429556	6822	1244	8	5	8859000	5
20220424 150827	-0.825500623627158	2614	1304	17	5	9519000	6
20220424 150843	0.0728765341060353	4589	1376	20	5	0	7
20220424 150918	-0.166311951029638	4415	456	11	5	9323000	8
20220424 150939	-0.0897077288973377	3829	1597	4	5	8193000	9
20220424 151015	-0.671389948907017	6313	513	15	5	9341000	10
20220424 151032	-0.793347558494133	2336	5	3	5	8746000	11
20220424 151058	-0.983047664391052	5706	1976	6	5	8276000	12
20220424 151116	-0.342927594843786	5766	709	3	5	9036000	13
20220424 151151	-0.640665847749915	3851	1658	17	5	8751000	14
20220424 151223	-0.992253476771293	6947	206	9	5	8860000	15
20220424 151240	-0.781954950303771	4729	770	3	5	9036000	16
20220424 151320	-0.676077775754863	2619	639	12	5	9643000	17
20220424 151358	-0.999537449807461	3631	728	15	5	9390000	18
20220424 151455	-0.63703374799187	885	3	15	5	9422000	19
20220424 151536	-0.340230189798025	1367	682	11	5	9858000	20
20220424 151623	-0.382529423105824	2850	1	12	5	9583000	21
20220424 151700	-0.757791897046101	2432	1214	15	5	9309000	22
20220424 151757	-0.878927809054182	3716	1	17	5	8560000	23
20220424 151836	-0.995434678052405	1521	756	16	5	9576000	24
20220424 151922	-0.260482054173123	791	395	12	5	9572000	25
20220424 152001	-0.796294290734492	1578	789	9	5	9469000	26
20220424 152020	-0.192319320488395	1672	691	3	5	8733000	27
20220424 152051	-0.517289004244136	2409	627	7	5	9741000	28
20220424 152130	-0.435548271809172	2950	624	12	5	9647000	29
20220424 152203	-0.999950336952248	5376	2000	17	5	8276000	30
20220424 152230	0.0471788895450555	4	1	8	5	0	31
20220424 152304	-0.200461933242943	4265	2000	9	5	8302000	32
20220424 152349	-0.321895751000609	2034	478	20	5	10082000	33
20220424 152433	-0.498453296258425	785	392	20	5	9877000	34
20220424 152524	-0.365198160276555	658	328	20	5	10396000	35
20220424 152631	-0.347552271843896	15	4	20	5	4553000	36
20220424 152718	-0.418212265362138	2089	270	17	5	9757000	37
20220424 152736	-0.300048514280647	4076	294	3	5	8733000	38
20220424 152758	-0.962387449317438	3060	1530	3	5	8464000	39
20220424 152852	-0.939773917408946	756	266	16	5	9614000	40
20220424 152944	-0.512227587074868	6092	1	15	5	9098000	41
20220424 153029	-0.999272461221857	4307	1	10	5	9150000	42
20220424 153050	0.0986584596364936	1680	839	18	5	0	43
20220424 153134	-0.37760725037302	3246	460	15	5	9586000	44
20220424 153227	-0.363220311707569	1019	454	20	5	9664000	45
20220424 153311	-0.584328427624684	3255	61	10	5	9089000	46
20220424 153333	-0.328695380111946	2061	1024	3	5	9050000	47
20220424 153355	-0.404574931439015	714	253	3	5	8733000	48
20220424 153415	-0.176820660303517	7009	1	3	5	8647000	49
20220424 153434	-0.670663019558012	6926	1	3	5	8647000	50
20220424 153519	-0.313633773461556	2537	585	20	5	9656000	51
20220424 153611	-0.670341271995403	625	306	17	5	10251000	52
20220424 153645	-0.995188352259191	6623	1257	16	5	8981000	53
20220424 153725	-0.300142416176326	2212	368	12	5	9868000	54
20220424 153745	-0.379424349771029	3263	1631	3	5	8464000	55
20220424 153804	-0.315618476607942	3404	735	3	5	8733000	56
20220424 153851	-0.49626181373721	4644	4	13	5	9386000	57
20220424 153931	-0.28565180685833	6826	343	20	5	9045000	58
20220424 154003	-0.997442054764327	1070	535	6	5	10259000	59
20220424 154028	-0.37574316696392	7550	2	5	5	8625000	60
20220424 154046	-0.999830062367391	631	312	3	5	8733000	61
20220424 154124	-0.999931420424093	2460	579	10	5	9674000	62
20220424 154202	-0.894755736667876	1173	581	9	5	10003000	63
20220424 154243	-0.88768078057906	5601	136	12	5	8810000	64
20220424 154318	-0.845010613426529	4648	1275	10	5	8874000	65
20220424 154411	-0.322677780492949	1726	3	12	5	9801000	66
20220424 154446	-0.605435903470557	5339	754	9	5	8765000	67
20220424 154536	-0.741433075934729	707	351	20	5	9941000	68
20220424 154608	-0.204443677495536	8000	1999	12	5	8607000	69
20220424 154657	-0.999993766797048	2861	283	20	5	9528000	70
20220424 154716	-0.999701546438264	1369	177	3	5	8733000	71
20220424 154814	-0.196766377305549	8000	2	20	5	8369000	72
20220424 154833	-0.999993112334911	7994	2000	3	5	8607000	73
20220424 154912	-0.591847550249196	1804	815	20	5	9665000	74
20220424 154953	-0.546206984114465	2740	523	20	5	9592000	75
20220424 155029	-0.227359427752208	6282	37	9	5	9173000	76
20220424 155101	-0.823590066790906	7047	2000	20	5	8635000	77
20220424 155136	-0.353966717753066	6282	1999	18	5	9025000	78
20220424 155153	0.0996445621296077	7667	973	8	5	0	79
20220424 155211	-0.572667792873484	7284	1697	3	5	8590000	80
20220424 155257	-0.318260507127437	1529	313	20	5	10634000	81
20220424 155336	-0.999402402691455	4668	479	16	5	9663000	82
20220424 155355	-0.977002042361976	6975	696	3	5	8630000	83
20220424 155438	-0.999851924516114	1462	492	20	5	9843000	84
