fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220424 194634	1257	19	29	10	5	10547000	1
20220424 210235	2103	9	178	33	5	11236000	2
20220424 213922	621	15	341	37	5	10807000	3
20220424 214930	1000	16	392	6	5	11758000	4
20220424 233924	1377	19	209	45	5	9911000	5
20220424 234758	2007	1	229	31	5	4287000	6
20220424 235847	464	26	489	14	5	11150000	7
20220425 013804	1832	11	359	42	5	11127000	8
20220425 015255	771	13	255	13	5	11376000	9
20220425 025114	1569	22	78	22	5	9737000	10
20220425 043859	2318	30	462	27	5	10941000	11
20220425 045049	1713	3	61	18	5	9968000	12
20220425 052118	344	24	143	48	5	8793000	13
20220425 052416	149	4	291	40	5	10200000	14
20220425 061612	2421	7	408	25	5	11108000	15
20220425 062319	865	27	118	4	5	11480000	16
20220425 062725	1000	2	252	14	5	7787000	17
20220425 064041	2485	16	1	2	5	10984000	18
20220425 064138	145	17	349	2	5	10687000	19
20220425 065623	688	28	500	13	5	11293000	20
20220425 071031	2500	27	500	2	5	10682000	21
20220425 071118	100	29	1	2	5	9996000	22
20220425 072045	100	27	372	50	5	9298000	23
20220425 073210	1305	15	500	5	5	11478000	24
20220425 073753	1143	5	1	6	5	10343000	25
20220425 082714	1808	16	500	17	5	11548000	26
20220425 084120	980	10	468	11	5	11833000	27
20220425 084729	1428	11	253	2	5	10571000	28
20220425 085051	100	10	500	26	5	10960000	29
20220425 091740	2005	9	500	11	5	11737000	30
20220425 100814	2498	10	494	16	5	11652000	31
20220425 101937	874	8	361	12	5	11752000	32
20220425 103537	1032	9	54	13	5	11521000	33
20220425 104338	332	16	157	14	5	11018000	34
20220425 104706	826	9	500	2	5	9489000	35
20220425 111622	1703	11	384	12	5	11475000	36
20220425 120838	2500	9	450	18	5	11587000	37
20220425 123121	2314	10	5	7	5	11761000	38
20220425 124124	2444	10	476	2	5	10064000	39
20220425 131327	2135	10	188	11	5	11590000	40
20220425 134703	2129	7	1	17	5	11302000	41
20220425 135211	121	8	434	41	5	10969000	42
20220425 142816	2493	16	489	9	5	11460000	43
20220425 144738	1132	8	500	16	5	11533000	44
20220425 150950	1607	26	140	8	5	11309000	45
20220425 152147	1074	13	1	7	5	11715000	46
20220425 170143	2499	14	500	26	5	11206000	47
20220425 171511	925	15	391	9	5	11673000	48
20220425 171714	163	11	1	8	5	10717000	49
20220425 173532	1613	13	350	7	5	11751000	50
20220425 180001	2441	13	23	6	5	11540000	51
20220425 183259	1032	27	56	18	5	9689000	52
20220425 183702	324	26	459	6	5	11440000	53
20220425 184533	975	24	198	4	5	11769000	54
20220425 185821	1138	22	475	6	5	11585000	55
20220425 194522	1095	7	1	48	5	10738000	56
20220425 205748	2499	10	9	24	5	11264000	57
20220425 211558	1298	9	361	12	5	11592000	58
20220425 213619	2030	8	3	9	5	11907000	59
20220425 220334	2499	8	2	10	5	11815000	60
20220425 231429	2497	10	500	23	5	11509000	61
20220425 235359	858	10	1	38	5	11206000	62
20220426 000826	1036	24	500	8	5	11488000	63
20220426 022122	2499	13	2	36	5	10697000	64
20220426 023702	1039	13	500	10	5	11804000	65
20220426 024902	1090	8	63	10	5	11883000	66
20220426 032122	790	17	500	25	5	10943000	67
20220426 033729	730	8	67	22	5	10948000	68
20220426 035421	1434	16	209	7	5	11625000	69
20220426 040229	1388	23	1	2	5	11610000	70
20220426 042025	1645	8	1	10	5	11825000	71
20220426 044736	2500	8	481	10	5	11741000	72
20220426 045309	577	23	112	5	5	11361000	73
20220426 050112	1377	25	121	2	5	11338000	74
20220426 051747	2006	23	280	4	5	11400000	75
20220426 074314	2137	30	500	37	5	10316000	76
20220426 074946	1138	21	234	2	5	11293000	77
20220426 093029	2500	8	35	41	5	10602000	78
20220426 095201	986	17	500	13	5	11401000	79
20220426 095930	100	12	184	50	5	10025000	80
20220426 102047	2069	8	87	9	5	11624000	81
20220426 103140	974	8	4	9	5	11493000	82
20220426 104356	1002	27	296	6	5	11577000	83
20220426 105832	1077	13	172	8	5	11606000	84
20220426 115843	1338	11	500	34	5	11084000	85
20220426 122302	1628	13	460	10	5	11750000	86
20220426 124939	2036	10	1	10	5	11600000	87
20220426 131824	643	10	269	37	5	11335000	88
20220426 145104	2500	12	207	26	5	11042000	89
20220426 150257	1009	8	191	11	5	11726000	90
20220426 152212	1769	8	43	10	5	11796000	91
20220426 152339	101	8	499	12	5	11418000	92
20220426 154815	2185	14	326	7	5	11623000	93
20220426 171140	2497	21	500	19	5	11064000	94
20220426 172511	1407	14	7	5	5	11714000	95
20220426 173621	955	23	355	6	5	11637000	96
20220426 181148	2500	10	498	11	5	11758000	97
20220426 183117	1626	18	409	7	5	11842000	98
20220426 184852	1477	17	343	7	5	11541000	99
20220426 190246	1288	30	211	6	5	11401000	100
20220426 191945	1629	20	416	6	5	11622000	101
20220426 193708	1297	30	418	8	5	11428000	102
20220426 194831	919	13	425	8	5	11646000	103
20220426 201117	1870	18	500	7	5	11843000	104
20220426 211108	2496	30	500	14	5	11418000	105
20220426 212141	870	18	500	7	5	11600000	106
20220426 213414	1032	8	495	11	5	11706000	107
20220426 213702	225	26	220	6	5	10774000	108
20220426 214425	284	14	500	16	5	11120000	109
20220426 220928	2500	28	1	5	5	11357000	110
20220427 002057	2293	18	500	33	5	10613000	111
20220427 010312	2500	29	222	8	5	11655000	113
20220427 014110	2069	28	388	11	5	11540000	114
20220427 015900	1890	28	194	5	5	11471000	115
20220427 020456	848	24	422	3	5	11665000	116
20220427 022527	1754	16	427	7	5	11765000	117
