fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220427 110249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.176166898987954	0.394662687275559	6627	653	0.018850843104398	12848000	1
20220427 110309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.161755608117906	0.786583691006526	4212	790	0.022098105136926	12313000	2
20220427 110326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.139356104294187	0.681012305384502	4438	117	0.0172771209385246	13288000	3
20220427 110343	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	12	TRUE	0.287727715198998	0.486516772108153	3339	718	0.0390194280228267	9739000	4
20220427 110413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.186187274164869	0.727291304189712	977	348	0.026932217720605	10451000	5
20220427 110459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0517052345735719	0.658014837773517	5197	915	0.0347158403261953	10787000	6
20220427 110526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.154703422776656	0.582171350074932	5222	394	0.0459045951681522	9101000	7
20220427 110630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0613360852259211	0.432304027965292	2327	432	0.0289631940041242	11990000	8
20220427 110708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0751442449960159	0.837808049842715	2613	542	0.0320705723832361	11557000	9
20220427 110730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.198515685237013	0.464486241284758	3618	864	0.029377074741448	11322000	10
20220427 110744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.218337230034987	0.214131112545729	5812	179	0.0142598132889058	13214000	11
20220427 110801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.240961304060416	0.301833133148029	3084	317	0.0439174768893281	8321000	12
20220427 110816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.262354303178843	0.907399072228	7223	931	0.0480624975966445	7218000	13
20220427 110931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	0.0243398027936928	0.636686643725261	7190	57	0.0358301300536065	10632000	14
20220427 111013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	8	TRUE	0.0362355354056926	0.558406170234084	1761	766	0.00886798419815022	11734000	15
20220427 111023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.253579206595896	0.842421976951882	6272	254	0.0236865169242568	12668000	16
20220427 111122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.273798089408432	0.320575821083039	97	511	0.0151531805623866	5660000	17
20220427 111216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.100554131599958	0.963917171740905	680	980	0.0430112770511187	7963000	18
20220427 111235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	0.0848798549083294	0.261672900915146	7629	612	0.0396133853272962	10045000	19
20220427 111258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.117857177726808	0.943947312058881	1525	89	0.0120303182746284	12581000	20
20220427 111319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.0929291305824227	0.582004587863047	5788	269	0.0109066648932207	12498000	21
20220427 111336	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.176641196129741	0.396348861071489	5926	75	0.0201994521180495	12719000	22
20220427 111434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0259858987186996	0.896822482507908	2901	104	0.0161379847296114	13382000	23
20220427 111448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.21077863292117	0.999584160999685	4480	140	0.0126337119069016	12552000	24
20220427 111516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0711578980388026	0.669842311199919	3365	230	0.0167446240592302	13342000	25
20220427 111525	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.299801277819335	0.200199424035083	7380	322	0.0141934738369043	12436000	26
20220427 111700	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	535	TRUE	0.0124596010701375	0.741030615626134	2113	16	0.0187201367241878	13608000	27
20220427 112058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1562	TRUE	0.0102918208156383	0.200740129761939	4530	357	0.0165421691470009	13594000	28
20220427 112402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1106	TRUE	0.0102798352809747	0.20002178822444	3746	25	0.00881103345666289	12099000	29
20220427 112417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.148462235669953	0.200032979131697	5128	470	0.0174775071271324	13394000	30
20220427 112725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	472	TRUE	0.0101941517095533	0.833881443113902	2172	181	0.0189582637403531	13750000	31
