fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220427 184020	0	0	0	1	auto	depthwise	256	0	1	0.269355900237802	0.608833802528679	3	11	0.0305823470334872	4	9448000	1
20220427 184537	0	0	0	1	auto	depthwise	256	0	1	0.187462825400638	0.708562422087416	9	25	0.0445291886790074	19	7016000	2
20220427 184716	0	0	0	1	auto	depthwise	256	0	1	0.254902945736307	0.344964181659743	9	5	0.0238160429211954	51	10800000	3
20220427 185526	0	0	0	1	auto	depthwise	256	0	1	0.122673524974729	0.786763029778376	2	15	0.0163429004707723	35	10578000	4
20220427 185940	0	0	0	1	auto	depthwise	256	0	1	0.167303346809233	0.529518113946542	8	30	0.0345038021885557	9	8317000	5
20220427 191828	0	0	0	1	auto	depthwise	256	0	1	0.0616402050319593	0.95411612582393	3	14	0.0326699669468023	93	9948000	6
20220427 192142	0	0	0	1	auto	depthwise	256	0	1	0.183121170684462	0.587885245708749	4	6	0.020434545011085	27	11347000	7
20220427 192723	0	0	0	1	auto	depthwise	256	0	1	0.133375060386839	0.458152924757451	5	17	0.0359558596363058	29	8873000	8
20220427 193011	0	0	0	1	auto	depthwise	256	0	1	0.275249390645302	0.381823952123523	6	19	0.00909025102446321	7	10861000	9
20220427 193355	0	0	0	1	auto	depthwise	256	0	1	0.202665143788443	0.857712786225602	10	8	0.0489888917184241	23	7546000	10
20220427 195249	0	0	0	1	auto	depthwise	256	0	1	0.148059381080791	0.891257329871878	9	20	0.0251308870235031	15	10955000	12
20220427 195709	0	0	0	1	auto	depthwise	256	0	1	0.281680153478403	0.747514171274379	8	28	0.0347714802982712	4	8072000	13
20220427 200504	0	0	0	1	auto	depthwise	256	0	1	0.0431199175558286	0.343796511460096	7	29	0.016669117656905	48	12723000	14
20220427 201155	0	0	0	1	auto	depthwise	256	0	1	0.184510103671695	0.812592480285093	4	28	0.0406469053797385	8	6667000	15
20220427 202029	0	0	0	1	auto	depthwise	256	0	1	0.0815807286138879	0.640429462846369	2	10	0.0282735142318415	93	9747000	16
20220427 202354	0	0	0	1	auto	depthwise	256	0	1	0.156365306223743	0.4181704861857	5	11	0.0459387990573305	23	6681000	17
20220427 202641	0	0	0	1	auto	depthwise	256	0	1	0.222014470259659	0.29566872516647	4	22	0.0164219305030808	8	10343000	18
20220427 203037	0	0	0	1	auto	depthwise	256	0	1	0.116214363170671	0.517709785886109	5	12	0.0131881353765493	10	11782000	19
20220427 203410	0	0	0	1	auto	depthwise	256	0	1	0.241988620897406	0.578009126773104	9	17	0.0367388244858982	12	8295000	20
20220427 203536	0	0	0	1	auto	depthwise	256	0	1	0.201200647366699	0.617263071415946	1	3	0.0449464202354041	16	8642000	21
20220427 203746	0	0	0	1	auto	depthwise	256	0	1	0.137766553795431	0.223800330134109	1	7	0.0212624776890152	45	10566000	22
20220427 210254	0	0	0	1	auto	depthwise	256	0	1	0.0259003494187491	0.936939069293439	6	15	0.0488056637050856	131	7471000	23
20220427 210955	0	0	0	1	auto	depthwise	256	0	1	0.0925296167134074	0.550239231437445	0	18	0.0329574526263362	5	1446000	24
